wind_speed_ms,rule_based_power_ratio,pinn_power_ratio,standard_nn_power_ratio
0.0,0.0,0.0018441185,0.018009601
0.10033444816053512,0.0,0.0018766535,0.018005688
0.20066889632107024,0.0,0.0019110171,0.018003497
0.3010033444816054,0.0,0.0019473315,0.018003063
0.4013377926421405,0.0,0.0019857255,0.01800447
0.5016722408026756,0.0,0.0020263407,0.01800778
0.6020066889632107,0.0,0.0020693315,0.018013068
0.7023411371237458,0.0,0.002114863,0.018020406
0.802675585284281,0.0,0.0021631164,0.018029885
0.9030100334448161,0.0,0.002214288,0.018041607
1.0033444816053512,0.0,0.0022685889,0.01805566
1.1036789297658862,0.0,0.0023262536,0.018072158
1.2040133779264215,0.0,0.0023875318,0.018091198
1.3043478260869565,0.0,0.002452706,0.01811293
1.4046822742474916,0.0,0.002522072,0.018137459
1.5050167224080269,0.0,0.002595959,0.018164936
1.605351170568562,0.0,0.002674729,0.018195514
1.705685618729097,0.0,0.0027587777,0.018229363
1.8060200668896322,0.0,0.0028485346,0.018266648
1.9063545150501673,0.0,0.0029444725,0.018307561
2.0066889632107023,0.0,0.0030471152,0.01835232
2.1070234113712374,0.0,0.0031570361,0.018401125
2.2073578595317724,0.0,0.0032748606,0.018454239
2.307692307692308,0.0,0.0034012867,0.018511917
2.408026755852843,0.0,0.0035370742,0.018574417
2.508361204013378,0.0,0.0036830695,0.018642064
2.608695652173913,0.0,0.0038401936,0.01871519
2.709030100334448,0.0,0.0040094876,0.018794145
2.809364548494983,0.0,0.00419208,0.018879343
2.9096989966555187,0.0,0.0043892264,0.018971207
3.0100334448160537,0.0,0.0046023205,0.019070216
3.1103678929765888,0.0,0.0048328973,0.019176872
3.210702341137124,0.0,0.005082662,0.019291773
3.311036789297659,0.0,0.005353512,0.019415557
3.411371237458194,0.0,0.0056475373,0.01954892
3.511705685618729,2.6117631555122525e-09,0.005967053,0.019692637
3.6120401337792645,2.2901507928319557e-06,0.006314649,0.019847589
3.7123745819397995,1.5597350576611754e-05,0.0066931583,0.020014768
3.8127090301003346,4.979256402861729e-05,0.007105751,0.020195276
3.9130434782608696,0.00011474414406297089,0.0075559323,0.02039034
4.013377926421405,0.000220320443593795,0.008047556,0.02060139
4.11371237458194,0.00037638981553521285,0.008584913,0.020830018
4.214046822742475,0.000592820612801344,0.009172721,0.02107808
4.31438127090301,0.0008794811883063156,0.009816197,0.021347683
4.414715719063545,0.0012462398949642437,0.010521066,0.021641284
4.51505016722408,0.001702965085689258,0.011293621,0.021961708
4.615384615384616,0.0022595251133954784,0.012140753,0.022312285
4.7157190635451505,0.002925788330997021,0.013070004,0.022696907
4.816053511705686,0.0037116230914080177,0.014089555,0.023120169
4.916387959866221,0.00462689774754258,0.015208312,0.023587575
5.016722408026756,0.005681480652314846,0.016435847,0.024105597
5.117056856187291,0.006885240158638916,0.017782506,0.024682114
5.217391304347826,0.00824804461942894,0.019259294,0.02532655
5.317725752508362,0.009779762387599027,0.020877903,0.026050394
5.418060200668896,0.011490261816063278,0.022650657,0.026867617
5.518394648829432,0.013389411257735857,0.02459046,0.0277953
5.618729096989966,0.015487079065530845,0.02671067,0.028854461
5.719063545150502,0.0177931335923624,0.029025016,0.030070951
5.819397993311037,0.020317443191144643,0.031547412,0.031476565
5.919732441471572,0.023069876214791646,0.034291767,0.03311049
6.0200668896321075,0.02606030101621759,0.03727189,0.035020757
6.120401337792642,0.02929858594833656,0.040501095,0.037265927
6.2207357859531776,0.03279459936406271,0.043992158,0.039916597
6.321070234113712,0.036558209616310115,0.047756944,0.043056246
6.421404682274248,0.04059928505799298,0.051806256,0.04678118
6.521739130434783,0.04492769404202536,0.0561495,0.05119821
6.622073578595318,0.049553304921321345,0.060794767,0.056418695
6.722408026755853,0.054485986048795176,0.06574838,0.06254831
6.822742474916388,0.05973560577736083,0.07101512,0.06967123
6.923076923076923,0.06531203245993256,0.076598026,0.077829815
7.023411371237458,0.0712251344494244,0.08249858,0.08700381
7.1237458193979935,0.07748478009875052,0.08871679,0.097094364
7.224080267558529,0.08410083776082505,0.09525154,0.107919924
7.3244147157190636,0.09108317578856205,0.10210067,0.11923007
7.424749163879599,0.09844166253487573,0.10926181,0.13073474
7.525083612040134,0.10618616635268006,0.11673235,0.14214127
7.625418060200669,0.1143265555948894,0.12450992,0.15318961
7.725752508361205,0.1228726986144177,0.13259336,0.16367567
7.826086956521739,0.13183446376417904,0.14098287,0.17345826
7.926421404682275,0.14122171939708775,0.14968055,0.18245363
8.02675585284281,0.15104433386605776,0.1586907,0.19062112
8.127090301003344,0.16131217552400312,0.16802104,0.19794686
8.22742474916388,0.1720351127238384,0.17768191,0.20442887
